name	country	sector	marketvalue 	pricechange	dividend 	mtb	roi	free	volatility 
Adidas-Salomon	BD	PERSONAL GOODS	5750.63	36.7	0.79	3.02	23.5	100	5
Allianz	BD	NON-LIFE INSURANCE	38271.64	38.8	1.29	1.49	9.04	100	6
Altana	BD	PHARMACEUTICALS	4838.53	2.4	1.91	3.93	27.03	50	3
BASF	BD	CHEMICALS	24746.79	15.7	2.65	1.92	12.16	95	4
Bayer	BD	CHEMICALS	17050.88	32.4	2.82	1.48	4.94	95	5
BMW	BD	AUTOMOBILES	19462.39	26.9	1.37	1.28	13.76	53	3
Commerxbank	BD	BANKS	14454.39	90.6	0.79	0.93	4.32	92	9
Continental	BD	AUTOMOBILES	9037.81	55.1	0.89	2.23	33.98	84	6
Daimler Chrysler	BD	AUTOMOBILES	32925.26	37.5	3.19	1.2	8.49	93	7
Deutsche Bank	BD	BANKS	33713.44	42.2	1.8	1.37	8.77	100	6
Deutsche Boerse	BD	GENERAL FINANCIAL	8655.61	98.9	0.59	1.94	11.37	100	9
Deutsche Lufthansa	BD	TRAVEL & LEISURE	4513.89	27.4	2.11	1.21	15.23	91	5
Deutsche Post	BD	INDUSTRIAL TRANSPORT	17371.35	10.9	2.38	2.6	26.01	61	4
Deutsche Telecom	BD	FIXED-LINE TELECOMMS	41468.72	-8.7	4.41	1.3	16.76	63	3
EON	BD	"GAS, WATER, UTILITIES"	44629.86	42.2	2.52	1.39	14.57	95	5
Fresenius Med. Care	BD	HEALTHCARE EQUIP & SERV	6587.19	55.6	1.14	2.13	12.48	49	6
Henkel Pref	BD	HOUSEHOLD GOODS	3914.44	38.6	1.43	2.45	16.43	100	5
Hypo Real Estate Hldg	BD	GENERAL FINANCIAL	5160.86	75.4	0.63	1.43	9.75	95	9
Infineon Technologies	BD	TECHNOLOGY HARDWARE	4288.2	12.2	0	1.09	-5.22	73	3
Linde	BD	CHEMICALS	6052.81	35.8	1.92	1.8	12.39	63	4
Man	BD	INDUSTRIAL ENGINEERING	5417.08	55.9	1.89	1.41	11.32	90	7
Metro	BD	GENERAL RETAILERS	9851.7	5.4	2.32	2.79	19.88	44	3
Munch. Ruck. Regd	BD	NON-LIFE INSURANCE	18230.18	24.8	1.74	1.33	12.74	90	5
RWE	BD	"GAS, WATER, UTILITIES"	25677.67	56.6	2.47	3.06	23.1	89	6
SAP	BD	SOFTWARE & COMP SERV	38027.31	42.4	0.63	9.01	35.33	69	5
Schering	BD	PHARMACEUTICALS	11148.41	65	1.2	3.36	20.57	89	6
Siemens	BD	ELECTRONIC EQUIP	46519.36	22.8	1.79	2.11	8.37	94	5
Thyssenkrupp	BD	GENERAL INDUSTRIALS	8073.39	40.3	3.09	1.02	12.24	76	6
Tui	BD	TRAVEL & LEISURE	2905.43	-14	4.57	1.13	19.68	100	4
Volkswagen	BD	AUTOMOBILES	11864.55	67.4	1.88	0.62	2.77	54	7
Accor	FR	TRAVEL & LEISURE	6915.91	27.9	2.5	1.71	6.66	74	5
AGF-ASR.GL.DE FRN	FR	NON-LIFE INSURANCE	12395.14	56.5	3.72	1.42	16.92	42	6
Air Liquide	FR	CHEMICALS	12885.53	19.3	2.5	2.76	15.31	100	4
Alcatel 'A' 	FR	TECHNOLOGY HARDWARE	12513.69	33	0.43	4.43	9.27	94	5
Arcelor (PAR)	FR	INDUSTRIAL METALS	14023.46	76.5	3.79	1	34.37	94	10
AXA	FR	NON-LIFE INSURANCE	37397.37	40.3	3.29	1.33	10.76	82	6
BNP Paribas	FR	BANKS	48672.94	40.5	3.69	1.56	16.53	89	6
Bouygues	FR	CONSTRUCTION & MATERIALS	10300.74	44.1	2.49	2.84	16.72	57	6
Cap Gemini	FR	SOFTWARE & COMP SERV	3910.68	62.7	 	1.03	-10.71	100	8
Carrefour	FR	FOOD & DRUG RETAILERS	21101.28	7.2	2.87	3.81	22.05	84	3
Credit Agricole	FR	BANKS	33081.77	48.3	2.94	1.32	9.4	40	7
Danone	FR	FOODS	18075.75	31.2	1.87	3.98	6.57	100	5
Dexia (PAR)	FR	BANKS	16307.15	19	3.1	 	 	52	3
EADS (PAR)	FR	AEROSPACE & DEFENCE	19569.64	50.7	1.74	1.02	6.38	34	6
Essilor Intl	FR	HEALTHCARE EQUIP & SERV	5306.98	34.3	1.27	4.44	18.83	93	5
France Telecom	FR	FIXED-LINE TELECOMMS	34848.4	-14.6	6.35	3.83	23.15	67	5
Lafarge	FR	CONSTRUCTION & MATERIALS	10899.81	18.4	3.47	1.44	10.7	93	4
Lagardere Groupe	FR	MEDIA	6396.45	12.9	1.85	1.85	9.84	88	3
L-Oreal	FR	PERSONAL GOODS	33870.99	23.8	1.35	4.09	54.86	47	4
LVMH	FR	PERSONAL GOODS	27428.93	42.9	1.42	4.28	16.57	52	5
Michelin	FR	AUTOMOBILES	5189.59	1.9	3.25	1.47	11.92	90	3
