tube_assembly_id,component_id_1,quantity_1
TA-00001,C-1622,2
TA-00002,C-1312,2
TA-00003,C-1312,2
TA-00004,C-1312,2
TA-00005,C-1624,1
TA-00006,C-1624,1
TA-00007,C-1622,2
TA-00008,C-1312,2
TA-00009,C-1625,2
TA-00010,C-1768,2
TA-00011,C-1312,2
TA-00012,C-1312,2
TA-00013,C-1259,1
TA-00014,C-1622,2
TA-00015,C-0448,2
TA-00016,C-1349,1
TA-00017,C-1349,1
TA-00018,C-1555,1
TA-00020,C-1369,2
TA-00021,C-1369,2
TA-00022,C-1229,2
TA-00023,C-0823,2
TA-00024,C-0823,2
TA-00025,C-0823,2
TA-00026,C-1555,1
TA-00027,C-1845,2
TA-00028,C-1970,1
TA-00029,C-1420,1
TA-00030,C-1621,2
TA-00031,C-1621,2
TA-00032,C-1818,1
TA-00033,C-0823,2
TA-00034,C-1362,1
TA-00035,C-1420,1
TA-00036,C-1621,2
TA-00037,C-1243,1
TA-00038,C-1621,1
TA-00039,C-1620,2
TA-00040,C-1621,1
TA-00041,C-1420,1
TA-00042,C-1420,2
TA-00043,C-1642,1
TA-00045,C-0024,2
TA-00046,C-1233,1
TA-00047,C-0448,2
TA-00048,C-0444,2
TA-00049,C-0444,1
TA-00050,C-1243,2
TA-00051,C-0027,1
TA-00052,C-1536,2
TA-00053,C-1621,2
TA-00054,C-1621,2
TA-00055,C-1623,1
TA-00056,C-1623,1
TA-00057,C-1625,1
TA-00058,C-1312,2
TA-00059,C-1780,1
TA-00060,C-1312,2
TA-00061,C-1312,2
TA-00062,C-1621,2
TA-00063,C-1621,2
TA-00065,C-1767,2
TA-00066,C-1565,1
TA-00067,C-1941,1
TA-00068,C-1555,1
TA-00069,C-1374,1
TA-00071,C-1817,1
TA-00072,C-1345,1
TA-00073,C-1355,1
TA-00075,C-1312,2
TA-00076,C-1312,2
TA-00077,C-1312,2
TA-00078,C-1312,2
TA-00079,C-1312,2
TA-00080,C-1312,2
TA-00081,C-1312,2
TA-00082,C-1312,2
TA-00083,C-1312,2
TA-00084,C-1312,2
TA-00085,C-1312,2
TA-00086,C-1312,2
TA-00087,C-1312,2
TA-00088,C-1312,2
TA-00089,C-1312,2
TA-00090,C-1312,2
TA-00091,C-1312,2
TA-00092,C-1312,2
TA-00093,C-1312,2
TA-00094,C-1312,2
TA-00095,C-1312,2
TA-00096,C-1312,2
TA-00097,C-1621,2
TA-00098,C-1538,1
TA-00099,C-1993,1
TA-00100,C-1621,2
TA-00102,C-1845,2
TA-00103,C-1521,1
TA-00104,C-1622,2
TA-00105,C-1670,1
TA-00107,C-0441,1
TA-00108,C-1625,1
TA-00109,C-1625,1
TA-00110,C-0038,1
TA-00111,C-1585,2
TA-00112,C-0055,1
TA-00113,C-1620,2
TA-00114,C-1845,2
TA-00115,C-1845,2
TA-00116,C-1845,2
TA-00117,C-1420,2
TA-00118,C-1622,2
TA-00119,C-1621,2
TA-00120,C-1621,2
TA-00121,C-1621,2
TA-00122,C-1621,2
TA-00123,C-1624,1
TA-00124,C-1312,1
TA-00125,C-1625,1
TA-00126,C-1624,2
TA-00127,C-1621,2
TA-00128,C-1638,2
TA-00129,C-1620,2
TA-00130,C-1620,2
TA-00131,C-1625,2
TA-00132,C-1624,1
TA-00133,C-1624,1
TA-00134,C-1624,1
TA-00135,C-1817,1
TA-00136,C-1621,2
TA-00138,C-1750,1
TA-00141,C-1468,1
TA-00142,C-1476,1
TA-00143,C-1882,2
TA-00144,C-1717,1
TA-00145,C-1312,2
TA-00146,C-1312,2
TA-00147,C-1312,2
TA-00148,C-1312,2
TA-00149,C-1312,2
TA-00150,C-1312,2
TA-00151,C-1532,1
TA-00152,C-0468,1
TA-00153,C-1621,2
TA-00154,C-1625,1
TA-00155,C-1625,1
TA-00156,C-1845,2
TA-00157,C-1649,1
TA-00158,C-1647,2
TA-00159,C-1625,1
TA-00160,C-1647,2
TA-00161,C-1621,2
TA-00162,C-1476,2
TA-00163,C-1243,2
TA-00164,C-1243,1
TA-00165,C-1355,1
TA-00166,C-1925,1
TA-00167,C-0444,2
TA-00168,C-1474,1
TA-00169,C-1845,2
TA-00170,C-1218,1
TA-00171,C-1644,1
TA-00172,C-1644,1
TA-00173,C-1624,1
TA-00174,C-1625,1
