tube_assembly_id,supplier
TA-07309,S-0066
TA-20982,S-0066
TA-08125,S-0062
TA-09405,S-0066
TA-18706,S-0066
TA-20855,S-0066
TA-20538,S-0066
TA-17193,S-0041
TA-20832,S-0066
TA-19148,S-0066
TA-04479,S-0066
TA-09338,S-0066
TA-13858,S-0041
TA-20367,S-0066
TA-00883,S-0072
TA-17549,S-0066
TA-20563,S-0066
TA-18126,S-0066
TA-02103,S-0066
TA-11546,S-0066
TA-01459,S-0026
TA-13818,S-0054
TA-19592,S-0072
TA-20027,S-0066
TA-02337,S-0066
TA-05147,S-0066
TA-12618,S-0066
TA-20505,S-0066
TA-01247,S-0066
TA-10328,S-0066
TA-05714,S-0066
TA-19236,S-0066
TA-04275,S-0030
TA-01152,S-0066
TA-18945,S-0013
TA-17829,S-0005
TA-00462,S-0066
TA-00335,S-0066
TA-04738,S-0066
TA-08782,S-0066
TA-20869,S-0066
TA-18950,S-0066
TA-07021,S-0066
TA-00662,S-0066
TA-07845,S-0072
TA-07159,S-0066
TA-03130,S-0066
TA-21057,S-0064
TA-06561,S-0066
TA-05016,S-0066
TA-05496,S-0066
TA-20486,S-0066
TA-02507,S-0066
TA-03981,S-0066
TA-18745,S-0066
TA-01134,S-0066
TA-13740,S-0054
TA-10820,S-0066
TA-05129,S-0072
TA-05714,S-0066
TA-20455,S-0072
TA-01769,S-0066
TA-05321,S-0041
TA-19366,S-0066
TA-20893,S-0066
TA-20808,S-0066
TA-10389,S-0066
TA-01679,S-0066
TA-08421,S-0027
TA-18886,S-0066
TA-04762,S-0072
TA-10293,S-0066
TA-19237,S-0066
TA-12378,S-0072
TA-05193,S-0066
TA-01169,S-0066
TA-05009,S-0066
TA-19218,S-0066
TA-20151,S-0066
TA-01609,S-0014
TA-03988,S-0072
TA-00161,S-0066
TA-01556,S-0066
TA-07066,S-0058
TA-13791,S-0041
TA-20619,S-0066
TA-18742,S-0066
TA-05644,S-0066
TA-19115,S-0066
TA-19257,S-0041
TA-04637,S-0054
TA-01816,S-0066
TA-10111,S-0066
TA-10973,S-0066
TA-00662,S-0066
TA-06246,S-0066
TA-11067,S-0066
TA-04248,S-0066
TA-11466,S-0041
TA-06443,S-0066
TA-00092,S-0066
TA-11816,S-0072
TA-11085,S-0066
TA-00320,S-0066
TA-00096,S-0066
TA-01335,S-0066
TA-18651,S-0066
TA-20279,S-0066
TA-19440,S-0066
TA-15200,S-0041
TA-00105,S-0066
TA-05178,S-0072
TA-02653,S-0072
TA-01953,S-0054
TA-05905,S-0041
TA-07159,S-0066
TA-09473,S-0066
TA-19653,S-0066
TA-14082,S-0066
TA-03382,S-0066
TA-08742,S-0072
TA-01357,S-0066
TA-21006,S-0066
TA-20332,S-0066
TA-07020,S-0066
TA-10111,S-0066
TA-00014,S-0066
TA-20192,S-0066
TA-00014,S-0066
TA-02022,S-0066
TA-11179,S-0072
TA-10495,S-0066
TA-20690,S-0066
TA-08859,S-0054
TA-04267,S-0072
TA-07572,S-0066
TA-01134,S-0066
TA-11074,S-0066
TA-10945,S-0066
TA-15106,S-0041
TA-09407,S-0066
TA-04150,S-0066
TA-08500,S-0066
TA-10414,S-0104
TA-00119,S-0066
TA-20233,S-0066
TA-09998,S-0066
TA-01509,S-0066
TA-19645,S-0062
TA-05684,S-0066
TA-03685,S-0041
TA-00056,S-0066
TA-07567,S-0041
TA-20009,S-0066
TA-18890,S-0066
TA-12447,S-0054
TA-18732,S-0066
TA-02056,S-0066
TA-09686,S-0072
TA-06091,S-0066
TA-19401,S-0066
TA-18990,S-0072
TA-04260,S-0066
TA-13190,S-0070
TA-20575,S-0066
TA-13818,S-0054
TA-07249,S-0066
TA-19125,S-0066
TA-06209,S-0066
TA-06482,S-0072
TA-06440,S-0066
TA-05687,S-0066
TA-05707,S-0066
TA-18890,S-0066
TA-03719,S-0066
TA-03329,S-0066
TA-06304,S-0072
TA-00567,S-0072
TA-05648,S-0066
TA-19368,S-0066
TA-15846,S-0066
TA-09323,S-0066
TA-19871,S-0064
TA-18053,S-0066
TA-06074,S-0066
TA-08291,S-0066
TA-00054,S-0064
TA-16076,S-0026
TA-04648,S-0066
TA-00787,S-0072
TA-21056,S-0066
TA-01352,S-0066
TA-05996,S-0066
TA-01682,S-0066
TA-21113,S-0066
TA-20982,S-0066
TA-13024,S-0066
TA-03288,S-0066
TA-13429,S-0054
TA-20424,S-0066
TA-12649,S-0041
TA-18745,S-0066
TA-02171,S-0072
TA-05596,S-0066
TA-19798,S-0066
TA-03040,S-0066
TA-02200,S-0066
TA-15075,S-0041
TA-03525,S-0066
TA-00316,S-0072
TA-20607,S-0066
TA-07330,S-0072
