tube_assembly_id,spec1
TA-00013,SP-0004
TA-00015,SP-0063
TA-00018,SP-0007
TA-00019,SP-0080
TA-00020,SP-0057
TA-00021,SP-0057
TA-00022,SP-0012
TA-00028,SP-0007
TA-00032,SP-0070
TA-00034,SP-0007
TA-00035,SP-0007
TA-00037,SP-0058
TA-00038,SP-0007
TA-00039,SP-0007
TA-00041,SP-0007
TA-00042,SP-0063
TA-00046,SP-0004
TA-00047,SP-0063
TA-00048,SP-0063
TA-00049,SP-0058
TA-00050,SP-0063
TA-00058,SP-0063
TA-00066,SP-0007
TA-00067,SP-0007
TA-00068,SP-0007
TA-00069,SP-0080
TA-00070,SP-0058
TA-00071,SP-0070
TA-00073,SP-0007
TA-00074,SP-0007
TA-00098,SP-0007
TA-00103,SP-0007
TA-00106,SP-0012
TA-00107,SP-0007
TA-00110,SP-0007
TA-00111,SP-0012
TA-00112,SP-0007
TA-00114,SP-0063
TA-00115,SP-0063
TA-00116,SP-0063
TA-00117,SP-0063
TA-00119,SP-0007
TA-00124,SP-0012
TA-00127,SP-0007
TA-00128,SP-0007
TA-00135,SP-0005
TA-00136,SP-0007
TA-00137,SP-0058
TA-00138,SP-0007
TA-00139,SP-0058
TA-00140,SP-0051
TA-00141,SP-0007
TA-00142,SP-0007
TA-00143,SP-0012
TA-00165,SP-0007
TA-00166,SP-0004
TA-00167,SP-0063
TA-00169,SP-0063
TA-00178,SP-0007
TA-00186,SP-0063
TA-00188,SP-0012
TA-00189,SP-0012
TA-00191,SP-0012
TA-00192,SP-0012
TA-00194,SP-0007
TA-00196,SP-0007
TA-00197,SP-0007
TA-00198,SP-0007
TA-00199,SP-0012
TA-00201,SP-0063
TA-00202,SP-0063
TA-00204,SP-0007
TA-00207,SP-0063
TA-00208,SP-0063
TA-00210,SP-0063
TA-00212,SP-0063
TA-00213,SP-0063
TA-00214,SP-0063
TA-00216,SP-0063
TA-00218,SP-0063
TA-00219,SP-0063
TA-00220,SP-0007
TA-00221,SP-0007
TA-00223,SP-0007
TA-00224,SP-0007
TA-00225,SP-0058
TA-00228,SP-0063
TA-00229,SP-0004
TA-00231,SP-0007
TA-00232,SP-0007
TA-00234,SP-0024
TA-00235,SP-0007
TA-00237,SP-0007
TA-00238,SP-0063
TA-00239,SP-0063
TA-00240,SP-0007
TA-00241,SP-0058
TA-00242,SP-0058
TA-00245,SP-0007
TA-00246,SP-0007
TA-00247,SP-0058
TA-00248,SP-0007
TA-00250,SP-0007
TA-00251,SP-0063
TA-00252,SP-0007
TA-00253,SP-0007
TA-00255,SP-0058
TA-00256,SP-0012
TA-00268,SP-0058
TA-00275,SP-0007
TA-00277,SP-0007
TA-00278,SP-0070
TA-00281,SP-0013
TA-00282,SP-0063
TA-00283,SP-0063
TA-00284,SP-0063
TA-00285,SP-0013
TA-00286,SP-0013
TA-00287,SP-0013
TA-00288,SP-0013
TA-00289,SP-0013
TA-00299,SP-0007
TA-00300,SP-0007
TA-00301,SP-0007
TA-00303,SP-0007
TA-00305,SP-0080
TA-00307,SP-0080
TA-00309,SP-0058
TA-00316,SP-0063
TA-00317,SP-0007
TA-00318,SP-0007
TA-00324,SP-0063
TA-00325,SP-0063
TA-00326,SP-0063
TA-00327,SP-0007
TA-00330,SP-0070
TA-00331,SP-0080
TA-00332,SP-0080
TA-00333,SP-0007
TA-00340,SP-0063
TA-00342,SP-0063
TA-00343,SP-0012
TA-00344,SP-0012
TA-00347,SP-0012
TA-00356,SP-0007
TA-00360,SP-0007
TA-00361,SP-0007
TA-00372,SP-0004
TA-00373,SP-0058
TA-00374,SP-0007
TA-00375,SP-0007
TA-00376,SP-0007
TA-00377,SP-0007
TA-00378,SP-0004
TA-00381,SP-0007
TA-00398,SP-0063
TA-00399,SP-0063
TA-00400,SP-0063
TA-00401,SP-0013
TA-00402,SP-0013
TA-00404,SP-0058
TA-00407,SP-0004
TA-00408,SP-0007
TA-00411,SP-0063
TA-00412,SP-0063
TA-00413,SP-0007
TA-00414,SP-0063
TA-00415,SP-0058
TA-00416,SP-0063
TA-00417,SP-0063
TA-00418,SP-0057
TA-00419,SP-0057
TA-00420,SP-0057
TA-00421,SP-0057
TA-00422,SP-0057
TA-00423,SP-0057
TA-00424,SP-0057
TA-00425,SP-0057
TA-00426,SP-0057
TA-00427,SP-0057
